TransactionID,UserID,TransactionAmount,TransactionDate,TransactionType,Merchant,Location,CardType,IsFraud
1,4174,2917.18,2024-01-01 00:00:00,POS,Rose Group,Alexanderport,Discover,0
2,4507,4545.04,2024-01-01 00:01:00,Online,Moyer-Carter,Lake William,Visa,0
3,1860,4710.25,2024-01-01 00:02:00,POS,"Nash, Gross and Russell",Branchmouth,MasterCard,0
4,2294,326.27,2024-01-01 00:03:00,Online,Young-Sexton,East Nathanberg,Amex,0
5,2130,2014.84,,Online,Shaffer-Cook,Garciafurt,Discover,0
6,2095,122.18,2024-01-01 00:05:00,POS,Hanna LLC,Lake Peterton,Visa,0
7,4772,1650.44,2024-01-01 00:06:00,POS,Doyle-Terry,Port Stephanieview,Visa,0
8,4092,2686.66,2024-01-01 00:07:00,ATM Withdrawal,Juarez Group,East Justin,MasterCard,0
9,2638,4554.42,2024-01-01 00:08:00,Online,Lopez Group,Riveraview,Amex,0
10,3169,4233.54,2024-01-01 00:09:00,Online,"Warren, Edwards and Johnson",South Peter,MasterCard,0
11,1466,641.86,2024-01-01 00:10:00,POS,"Smith, Garcia and Mccarty",East Nathanstad,Discover,0
12,2238,469.69,2024-01-01 00:11:00,POS,Turner LLC,Edwinport,Visa,0
13,1330,2948.39,2024-01-01 00:12:00,Online,Joseph-Massey,New John,Visa,0
14,2482,2662.93,2024-01-01 00:13:00,Online,Kerr LLC,East Williamland,MasterCard,0
15,3135,1335.56,2024-01-01 00:14:00,POS,"Clark, Cardenas and Smith",Humphreymouth,MasterCard,0
16,4444,4497.77,2024-01-01 00:15:00,POS,"Leonard, White and Greer",Lake Lisa,MasterCard,0
17,4171,4637.2,2024-01-01 00:16:00,Online,Thompson-Webb,North Christophershire,Amex,0
18,3919,2016.04,2024-01-01 00:17:00,POS,"Mcintosh, Fisher and Johnson",Port Corey,Visa,0
19,4735,4452.06,2024-01-01 00:18:00,POS,White-Morgan,North Vanessaborough,Amex,0
20,1130,1922.82,2024-01-01 00:19:00,Online,Morris and Sons,Aguirreport,Discover,0
21,2685,3685.4,2024-01-01 00:20:00,ATM Withdrawal,Watkins-Houston,Stevenfurt,Amex,0
22,4380,2382.33,2024-01-01 00:21:00,POS,Evans-Henderson,Lake Timothyfort,MasterCard,0
